COGNOME;NOME;E-MAIL;TELEFONO
spalletta;ninfa;abcdefghijklmnopq@virgilio.it;3472178025
;;abcdefghijklmnopq@tim.it;3492541442
costantini;;gentili93@libero.it;3463086460
;fiorilda;fervido18@hotmail.it;3491288715
kosek;idelmo;;3478372800
von oppen;isotta;isovonoppen@hotmail.it;3481732742
;foscherina;isovonoppen@hotmail.it;+393458818376
rucci;villermo;;3456857260
capitani;lidio;effresantoro@tim.it;3485444307
;offelia;;3472881780
farazi;;vefarazi@tim.it;3481056433
strazzanti;adeodato;strazzanti41@hotmail.it;3460037047
campanella;esuperia;esu-campanella@alice.it;+393482262035
;fulviano;;3465708446
tarozzi;clara;clara.tarozzi@virgilio.it;3488221514
cicconi;rinieri;cicconi@virgilio.it;+393471256524
;nievo;;+393462634343
piro;ormes;oderio-jebrane@hotmail.com;
;marcuccia;marcuccia62@virgilio.it;+393483668334
;ilena;ilenavilla@hotmail.it;
;odina;odina-corrias@gmail.com;3488021046
paul;mammola;ma-paul@hotmail.it;3492715830
sanges;siriano;;+393470506858
masetti;ravaldo;igidio48@tim.it;+393493677622
;mirco;oldrado04@gmail.com;
;fenzo;gentili93@libero.it;3483818135
;frosina;frosinaromagnoli@hotmail.it;3490212417
fadda;adone;abcdefghij@alice.it;3466237428
errichetti;provvida;baldinotti.galeana@alice.it;+393477122338
martys;saturnina;isovonoppen@hotmail.it;3477461327
baiano;iseo;baiano51@tim.it;+393473785052
clementucci;idolo;idolo-clementucci@alice.it;+393478535867
carpi marasco;vinicia;carletta24@libero.it;3456857260
vaccaro;;polda80@gmail.com;
iachini;beltrando;beltrando-iachini@virgilio.it;3461355875
Bernardi;maurillo;bernardi@libero.it;3498063236
boubaker;;duilio-nicastro@alice.it;3490447433
vaccaro;;elda78@gmail.com;3460736072
Piras;liliano;abcdefghijklmnopqr@virgilio.it;3483460207
lanzoni;esterina;abcdefghi@virgilio.it;+393498107102
lacerenza;editta;;+393493586778
minelli;;;
spalletta;curio;ve.bartolucci@libero.it;3455380364
;ode;conti41@hotmail.it;+393454853346
basile;melissa;bagnato65@hotmail.com;3496103834
Cavallo;ostelio;odinella59@virgilio.it;+393496477078
Aiello;felesina;aiello.fe@hotmail.it;3482703405
d'agapito;fiorentino;tesiovaccaro@libero.it;3473770441
;oreliana;f.lesniewska@gmail.com;+393462622481
de bacco;masina;madebacco@alice.it;3483430231
Costantini;atalo;costantini68@libero.it;+393487523781
;eritreo;e.serra@hotmail.it;+393488522472
harasymiuk;galieno;;
minelli;;;3464057166
Costantini;;abcdefghi@virgilio.it;3486733330
Ceccarelli;;carletta24@libero.it;+393457856777
freschi ;darvina;dafreschi@virgilio.it;+393462762563
di benimeo;adio;adi.dibenimeo@alice.it;
;walterina;mercantiniwa@hotmail.com;+393488535370
kosek;quinziano;qkosek@hotmail.com;+393470834181
bugli;lide;abcdefghijkl@virgilio.it;3475444213
;aderita;abcdefghijklm@libero.it;+393488332523
romano;leandrino;romano00@hotmail.it;3460152503
ceccaroni;oceania;beltrando-iachini@virgilio.it;3490025256
;william;william89@tim.it;
sipio;mariomaria;sipio23@hotmail.com;+393456338026
dolciotti;marisole;;3487302040
Cavallo;agata;cavallo81@tim.it;3461645425
caraballo;florana;;3477842583
ceraldi;artemidio;fiova66@hotmail.it;+393480341748
celotti;carducci;carducci84@yahoo.com;3478372800
ahamed;danillo;da-ahamed@hotmail.com;3464047133
zolea;celestino;celestino.zolea@gmail.com;3464627678
linzi;ledo;ledo36@hotmail.com;3495688563
felici;wulmaro;wulmaro34@virgilio.it;+393493586778
mincuzzi;omer;omer09@hotmail.it;
bertini;nicanore;e.caruso@virgilio.it;+393488737721
;rosimbo;rosimbo58@gmail.com;3475427551
;fioridea;umbertino17@tim.it;3470707871
;oristilla;oldrado04@gmail.com;+393478477761
;finistauro;finistauromilenov@yahoo.com;3480201754
Leone;miretta;miretta.leone@hotmail.com;3472652514
jebrane;astro;abcdefg@hotmail.com;
iacobelli;;fiacobelli@virgilio.it;+393477780144
filagna;alvezio;alvezio@tim.it;+393497207088
;odelio;odelio09@gmail.com;+393464430162
campana;oferto;ofe-campana@alice.it;3487255076
;;dalessandro.osvaldo@yahoo.com;3475661685
barruga;fenza;fesposito@hotmail.it;
;franceschino;franceschino42@virgilio.it;+393470776415
;;biondini08@hotmail.it;
Sala;franceschina;franceschina46@tim.it;3497756276
Marra;ermete;ermete50@hotmail.it;
sgrigna;fiorelinda;fiorelinda02@yahoo.com;3464186084
;;lapo100@gmail.com;+393470300452
policarpo;bibiano;fesposito@hotmail.it;3477864141
lopez;norge;no-lopez@yahoo.com;3486084674
;;fiorlinda.baldinotti@hotmail.it;+393486660672
;enea;odinella59@virgilio.it;
strazzanti;;fiorlinda.baldinotti@hotmail.it;+393491610524
piro;artide;;3462123106
palma ;oriade;palma50@tim.it;3490457500
rosato;pasqualino;;+393474158150
Pastore;ignazio;fiorelinda02@yahoo.com;3486686674
;barbaro;napoliba@hotmail.com;3461514484
di pasquale;orsio;cichon@hotmail.com;3462581151
callegarini;deonisio;ma-paul@hotmail.it;+393468517882
;superanzio;diacetti-superanzio@libero.it;3458465646
Arena;;corinna53@libero.it;+393490574338
Russo;giampaola;fanola51@hotmail.it;+393453786223
grossi pavia;;franceschina46@tim.it;
;pisano;contiu50@hotmail.it;+393472246566
;;abcdefg@virgilio.it;3490544226
;giolivo;giolivo@alice.it;+393458116302
andronico;neldo;neldo51@hotmail.it;3466335300
pompili;omelia;cichon@hotmail.com;+393483218460
;tarsilia;abcdefghijklmnopqr@virgilio.it;
Costa;odinella;odinella.costa@hotmail.it;3498735166
;agnieszka irena;esposito29@hotmail.it;3453185133
bartolucci;christopher;cbartolucci@virgilio.it;+393460888053
;ivan;;3463646207
Palmieri;natalia;gentili93@libero.it;3477174880
harasymiuk;ottonello;;+393492802555
vandenbulcke;manin;bagnato65@hotmail.com;
;forestina;celestino.zolea@gmail.com;3453331222
lucani;flemia;;3495375486
basile;melinda;oddinocampana@libero.it;3476571570
;lilia;li-paglia@alice.it;3483608813
alpi;algeria;alge.alpi@alice.it;3494628667
;oscaro;fabbri.o@hotmail.com;3461412368
baragliu;vicenzina;vbaragliu@tim.it;
;febbrina;davida89@libero.it;3481762767
;;;3462262232
bruni;;oneta00@yahoo.com;3475768458
Carbone;;carbone.w@tim.it;3476507022
;libiana;lpepe@alice.it;+393476288668
Costa;rediano;;3470307484
;abbondina;palma50@tim.it;+393473785052
bencivenga;vicino;vi-bencivenga@tim.it;+393497188244
Mariani;;pantalea08@hotmail.com;3480453026
de matteo;isido;;+393497188244
zanelli;;mariastella.zanelli@yahoo.com;3461128003
poni;;me.russo@tim.it;3458631760
liberto ;giacometta;giacometta80@hotmail.com;+393464475285
;;;+393496477078
;;a.nuti@hotmail.com;3451514160
pracucci;;conti41@hotmail.it;+393483351388
;audenzio;caligiuri34@hotmail.com;3472033634
;weslie;abcdefghi@virgilio.it;3486438506
romani bergonzo;licerio;;3485750705
;veneta;;3498638407
patruno;osmido;;3462817506
piersanti;;abcdefghijklm@gmail.com;3491755407
bassano;apollo;;
laurenti;filindo;filindo54@tim.it;+393460523258
;finimola;rocchi.finimola@yahoo.com;
Benedetti;inge;germanino31@alice.it;+393465363413
Piras;;;3480062811
ciarla;elviso;f.lesniewska@gmail.com;
clesceri;rubeno;fiorelinda02@yahoo.com;3454271876
baldinotti;orfemia;o.baldinotti@libero.it;3470707871
sepe ;belardino;belardino07@alice.it;3471304765
Benedetti;quirico;quirico.benedetti@tim.it;3498735166
Coppola;oneglia;oneglia.coppola@alice.it;
;gasparina;pagano.gasparina@libero.it;3454745218
;;abcdef@hotmail.it;
Fiore;nera;;+393481538244
piccoli;tomeo;;3478153107
celotti;guglielma;guglielma.celotti@libero.it;3493252126
;teodosio;teodosio.barsanti@hotmail.com;3462756808
pezzuco;dolcino;oldrado04@gmail.com;3453145201
mugione;oria;;3486012768
;ingenuina;ricciingenuina@hotmail.it;+393452006162
laurenti;aristidina;laurenti47@virgilio.it;3454604284
;furtunata;gentilefurtunata@tim.it;+393483428228
;;m.monaco@hotmail.it;
;argante;arga.satta@libero.it;3487302040
tabane;abbondanzio;abbondanzio21@yahoo.com;3468038044
giuliani;varina;giolivo@alice.it;+393454028270
de sterlich;;;3466347784
;fidelmina;napoliba@hotmail.com;3494437588
De Santis;fiordiligi;desantis87@alice.it;3450433226
;giovanna;giovanna68@virgilio.it;3478276384
moukrim;franzina;framoukrim@hotmail.com;3474452005
vassura;oriemme;aristidina67@hotmail.com;3492405475
cataldi;ottava;;3474382033
tambini;betta;franceschina46@tim.it;3477562030
felici;;arpa.felici@yahoo.com;3466235511
;asteria;desantis91@tim.it;3486725260
;;oliva10@gmail.com;3452534785
;leardina;ermeti97@virgilio.it;3460460438
balta;olisia;olisia.balta@yahoo.com;+393462003826
castagnoli;iana;;3494303160
;toscana;tpellegrino@virgilio.it;
ortu;;abcdefghijklmnopqr@libero.it;
;oriade;abcdefghijklmnopq@tim.it;
el hallaf;levia;;3458683852
cicconi;fridda;corinna53@libero.it;3470275757
pacini;adelmaro;pacinia@libero.it;+393470004460
bento da silva;norandino;pagano.gasparina@libero.it;3451703570
Ferrari;;abcdefghijklm@libero.it;
;elisena;aristidina67@hotmail.com;3458880105
;gallo;wicher-g@alice.it;+393475475266
avendato;carlina;carlina15@virgilio.it;3486615305
rosati;ariberto;rosati.a@hotmail.com;3476134377
zak;gervaso;;3475661685
;evardo;evardo74@virgilio.it;3494000682
;addolorato;bernardi@libero.it;3466201577
grande;fabia;e.serra@hotmail.it;3468034727
;tsvetan georgiev;t-adorno@tim.it;+393494836327
jebrane;william ramiro;;+393480074521
ossati;ivan;;+393457528311
;;;3463658638
marchi;argio;argio03@hotmail.com;+393460744667
;;;3463575822
;antonillo;antonillo30@hotmail.it;3461152411
;;;+393488223454
;;aristidina67@hotmail.com;+393461564260
cichon;carla vanesa;;
;ferramondo;;
;delino;d.satta@gmail.com;
;neve;;3466583457
;;idolo-clementucci@alice.it;+393480341748
renzulli;bandino;ba.renzulli@hotmail.it;+393487028343
;elzo;scotti@libero.it;3481762878
;redea;esposito29@hotmail.it;3464636778
;concezia;;
;roviero;;3463477227
haryadi;tosella;;3480014017
;cristofalo;;
boubaker;nivia;n.boubaker@gmail.com;3476827101
;onio;marcuccia62@virgilio.it;+393486652821
valbonesi;pompilia;pompilia36@libero.it;3488221514
Battaglia;ermelina;battaglia81@virgilio.it;3464585556
di mario;finaldo;;
cecchetti;;;+393484385202
Ricci;feruccio;myrta.tosolini@hotmail.com;3486725260
Leone;fiorindo;vi-bencivenga@tim.it;3468728534
sorrentino;ave;sorrentino57@alice.it;3476733513
lecca;andra;andra-lecca@tim.it;+393464722336
de filippis;lussoria;defilippis.l@gmail.com;3473440631
gagliardi;osvada;;3487508665
martino;raffaelina;ra.martino@alice.it;3476473308
croce;gedeone;croce-ge@libero.it;+393465685557
de florio;umbria;;3464184588
giurgola;;cicconi@virgilio.it;3465860230
zanellati;;zanellati@hotmail.com;+393490273207
gori;gesuele;palma50@tim.it;3478556711
di menna;;baldinotti.galeana@alice.it;+393461734365
infante;carmen;;3484176735
parravani;ridano;ri.parravani@yahoo.com;+393455212034
;fenela;;+393468271228
d'alessandro;gradisca;isovonoppen@hotmail.it;3468011672
Cavallo;amanda;;3452015764
spoletini;;fulgenzia22@virgilio.it;3460827202
marocchini;otteo;otteo.marocchini@tim.it;+393462873472
gentilini;;p-gentilini@gmail.com;+393455010760
;;;
;danila;tisba-da@gmail.com;3458667363
tabane;peppi;strazzanti41@hotmail.it;3461343628
;oddo;o.mercantini@hotmail.it;+393492275040
;medarda;;3494133755
rosati;elios;belardino07@alice.it;+393455513432
tarozzi;alisio;abcdefghijklmn@alice.it;3465850516
manzi;generosa;manzi61@libero.it;3486454173
;eudossia;abcdefghij@alice.it;+393471436103
odigwe;lorena;lorena07@hotmail.it;3495046440
;siliano;abcdefgh@virgilio.it;+393456057157
maldini;engelberto;aiello.fe@hotmail.it;3465002546
boes;osmelia;;3483160737
;ivanna;ivannamontevecchi@tim.it;3454745218
;genzino;genzino@tim.it;3487701544
naci;cavour;;
popovici;ferrucci;;3454168372
covato;;lpepe@alice.it;3454580803
tomassi;;abcdefg@hotmail.com;3462678020
;;mercantiniwa@hotmail.com;3476351384
bentivegna;faostina;abcdefgh@yahoo.com;3483004634
;amandino;a-pracucci@hotmail.com;+393481538244
pisacane;edilio;edilio-pisacane@hotmail.com;3452530424
Santini;duccio;;3476571570
Cirillo;menina;cirillo.menina@hotmail.com;3470307484
cichon;;cichon.altomira@gmail.com;+393450060661
Giorgi;sabbatina;abcdefghijkl@yahoo.com;3492483361
pinna;fedra;;3481471710
simoni;ciano;cianosimoni@virgilio.it;+393461720244
morsiani;achille;;3478174531
;elina;elina05@hotmail.com;+393473785052
taifi;pieretta;taifi.pieretta@hotmail.it;
capelli;ahmed;popovici-fi@libero.it;3497156222
;quartilia;edilio-pisacane@hotmail.com;+393463234650
;delfa;delfa13@hotmail.it;+393458150102
;giampaolo;giampaolo25@virgilio.it;3497528710
;melchiora;m.lecca@tim.it;+393494812180
;mem√ã;mkarim@yahoo.com;3464234087
vanni;guidantonia;;3476503281
giorgetti;letterio;argio03@hotmail.com;3466405403
bianchi;consolata;co.bianchi@virgilio.it;+393476533581
emumwen;;;+393480846634
;;gromala.policarpio@hotmail.it;+393472246566
moukrim;;abcdefghijklmnopq@tim.it;
;pancrazia;ba.renzulli@hotmail.it;3494057077
;ambro;ambro.pompili@hotmail.it;+393488146640
;viviana;;3460037047
Esposito;plavo;alge.alpi@alice.it;+393472638846
;stenia;stenia@alice.it;3451703570
;;gioiele46@hotmail.com;+393475475266
casella;palmina;gnani32@yahoo.com;+393497856703
ferrarese;adelmaro;abcdefghijklmnopqr@libero.it;3494316012
eichenberger;rafaella;r4f43ll431ch3nb3rg3r@gmail.com;+393497765801
balice;romino;a-guillencrespo@tim.it;+393458025181
zivkovic;amerino;abcdefghijklmn@alice.it;
Gallo;;o.gallo@libero.it;3477057540
;bengasina;franceschino42@virgilio.it;
bonsignore;;;3462626347
bazhanova;palmizio;abcdefg@virgilio.it;3450401136
;;poni37@virgilio.it;3478778576
zaccaria;paola;zaccaria.pa@hotmail.com;3465783225
;rosa;gnani@hotmail.com;+393464455067
Bruni;effisio;;
;gabino;;3450510408
moschetti;semira;;3488336311
paolini;rismondo;desantis87@alice.it;3452206432
wenz;carla;c.wenz@yahoo.com;+393465685557
mugione;mirano;mirano82@libero.it;+393452503864
bugli;fedorvana;febugli@virgilio.it;+393460302767
;;a-pracucci@hotmail.com;3475335627
mincuzzi;;mincuzziesperio@tim.it;+393496861488
;rosetta;rosetta92@hotmail.com;
jianu;glorio;abcdef@libero.it;+393477656264
rosato;signorina;signorina20@tim.it;3484012851
torraca;fino;f.torraca@gmail.com;
pompili;loredano;loredano.pompili@tim.it;3481705871
;mirocle;mi-piras@tim.it;+393462622481
chiricozzi;ermagora;;
;fidelina;fidelina70@yahoo.com;3493858827
colli;agenore;crescenzo@gmail.com;+393483655816
guida;ileano;ve.bartolucci@libero.it;
sassetti;nordino;nordino73@hotmail.com;+393481845271
bassano;amerino;bassanoame@libero.it;3483051514
orlandi;oleana;ole-orlandi@virgilio.it;3454271876
passitto;;rosildo-passitto@virgilio.it;+393487486818
napoli;rutilio;;3494353728
Esposito;fenisia;pacinia@libero.it;+393488146640
simonetti;belisario;;+393487874730
;;santella-satta@tim.it;+393492327388
;persia;persia52@hotmail.com;3462417365
Perrone;donata;laurenti47@virgilio.it;3452505058
antonelli;cinzio;;+393472247707
tomassi;marcuccia;marcuccia77@libero.it;3484583038
pongetti;edilberto;edilberto89@virgilio.it;+393491555231
cheikh talibouya;diodato;santella-satta@tim.it;+393458778807
vitor;alodia;abcdefghijklmnopqr@yahoo.com;3473642710
;giacchino;depeppe87@hotmail.com;+393483071654
bassolino;arcibaldo;arcibassolino@tim.it;3477745018
mascali zeo;mafaldo;mafaldo47@alice.it;3468738758
castaldo;fiorisella;abcdefghi@gmail.com;3490441722
pierucci ;elzio;pierucci-elzio@tim.it;3481543060
lunerti;;loredano.pompili@tim.it;3470548050
;olisse;;3486410116
;bonfilio;bonfilio90@tim.it;+393495480368
gindre;eride;;3477741374
jagmin;nicodema;abcdefg@alice.it;3457771886
;sarita;spulsoni@alice.it;3486012768
Caputo;;guglielma.celotti@libero.it;3455455171
;;battaglia81@virgilio.it;+393468340142
;fioralbo;abcdefghijk@tim.it;
rucci;albarosa;alba-rucci@alice.it;
Ferrara;robustino;;+393451625643
Bellini;gemello;gebellini@hotmail.it;
;armida;martinelli04@hotmail.com;3477850076
scipioni;maresa;;3486454173
;solimano;odinella.costa@hotmail.it;+393480846634
filipek;;;+393491725670
emumwen;lucrezio;abcdefg@hotmail.com;
scotti;;abcdefghijklm@gmail.com;3488020814
Catalano;eliseno;eliseno58@hotmail.com;3458735862
;sigilfrido;;+393460356106
;;susetta74@hotmail.it;3486508786
vassura;dionisi;d.vassura@hotmail.it;3462417365
cheikh talibouya;;cheikhtalibouya.alba@virgilio.it;+393480846634
;falando;;3478783571
quadrini;antuono;;3460147203
casali;;miretta.leone@hotmail.com;3455536242
;sisinnia;sisinnia26@hotmail.it;3474685434
alfano;;rocchi.finimola@yahoo.com;+393457146554
arlati;;arlati40@alice.it;+393451735280
;;giosu„ã.piani@alice.it;3458240638
;lorenzana;pierucci-elzio@tim.it;3490860540
;cristian mauricio;p-gentilini@gmail.com;3482765236
gealapu;olvea;olvea55@hotmail.it;3450024851
;;elda78@gmail.com;+393471632847
Ruggeri;claudina;neldo51@hotmail.it;+393497523654
ferrari;olmina;olmi-ferrari@alice.it;+393466827265
;andreatta;;3458735862
;adalio;adalio42@hotmail.com;3486725260
;niccolino;diacetti-superanzio@libero.it;3477850076
giannetti;;sgiannetti@virgilio.it;3475744434
;ontario;3lh4q40u10nt4r10@tim.it;3453665158
;dorindo;stenia@alice.it;
tomassi;;edilberto89@virgilio.it;3486410116
;ansuino;;+393484056512
Benedetti;redano;redano-benedetti@virgilio.it;3470815077
armaroli;evelina;taifi.pieretta@hotmail.it;3497743458
alfano;karen cortez;alfano37@gmail.com;3453145201
De Simone;alvisio;neldo51@hotmail.it;
Pinna;olita;;3465365138
Galli;;begalli@hotmail.com;3465588575
nurul;pierandrea;;+393474850763
;tilda;;3464180064
cutillo;;j.cutillo@tim.it;
;;quadaltinoferini83@gmail.com;3487738866
piani;malgorzata wieslawa;piani-ma@tim.it;3490544226
Volpe;;;3485352428
;jacopina;desantis91@tim.it;3454322375
zak;ferdiando;rocchi.finimola@yahoo.com;3456711761
antonelli;consiglio;3lh4q40u10nt4r10@tim.it;3481885860
;tazio;taziofiniti@virgilio.it;3462730130
;pasquino;freschi04@hotmail.com;3475335627
;;abcdefghijklmn@tim.it;
minuz;;udina.minuz@tim.it;3486435786
;darvino;neldo51@hotmail.it;+393481041544
;;olisia.balta@yahoo.com;3450573761
;feridia;feridia92@hotmail.it;3455520852
Mancini;bramo;udina.minuz@tim.it;3492273677
fusini;valentina;abcdefghijkl@virgilio.it;+393488426822
kosek;;domiziano27@alice.it;3493206401
luzzi;adorando;;3486410116
tioni;stalin;fedelica.zenina@hotmail.it;+393465860186
fortini;argo;;3477578286
;faliera;dipaolo-f@gmail.com;3466583457
pracucci;eraclito;eraclito75@yahoo.com;3472426563
;;no-lopez@yahoo.com;3458880105
;onestino;o-zak@virgilio.it;+393450206454
pereira de castro;milvia;pereiradecastro23@yahoo.com;3470081016
Silvestri;altieri;abcdefghij@hotmail.it;+393487530475
Moretti;;;+393451808005
;;;3468710818
polyzopoulos;;esu-campanella@alice.it;3493313747
fraticelli;anastasia;;+393450652177
;annibalina;maroncelli82@gmail.com;3484127861
verastegui pereyra;brillante;brillante.verasteguipereyra@alice.it;+393461480202
ermeti;;ermeti03@virgilio.it;
donati;ima;donati-ima@virgilio.it;+393467751257
;consilia;4l4mc0ns1l14@hotmail.it;3474274148
;giuffrida;;+393498000136
;nardino;nardino04@libero.it;+393467483441
Orlando;russo;abcdefghijklm@hotmail.com;+393458010372
del aguila rosario;;gisella35@hotmail.com;+393450772235
wozniczka;alcibiade;abcdefghij@alice.it;3486268326
boes;massimiliano;ma-boes@tim.it;3485782107
quartarone;;;3482852265
fiordigigli;fides;marcuccia62@virgilio.it;3460606430
;otelma;;
avello;;alfonza62@gmail.com;
;zarina;f.torraca@gmail.com;
wicher;;armella.wicher@yahoo.com;
baldari;ripalta;ripalta.baldari@alice.it;3480313334
Guerra;olivino;olivino48@gmail.com;
;libertaria;clesceri23@tim.it;+393460783126
caldironi;assuera;;
sarpieri;rovereto;rovereto22@tim.it;+393464404658
capanna;mammola;ma.capanna@virgilio.it;3483320122
piccoli;floresta;piccoli10@gmail.com;
;elisabetta;odelio09@gmail.com;+393452407520
moukrim;;moukrim63@hotmail.com;3495204483
Sala;publio;pu-sala@alice.it;3494868374
;;bianchino.quartarone@tim.it;3457057146
;ivina;ivina48@hotmail.com;+393484320332
